Step 93 | Time: 1.550s | Pos: (714.9, 290.9) | Vel: (90.7, -42.1) | Orient: -0.09 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 129.2 | Colliding: False | NearestObstacle: 92.9
Step 94 | Time: 1.567s | Pos: (716.4, 290.2) | Vel: (90.9, -41.6) | Orient: -0.09 rad | AngVel: 0.22 | Speed: 100.0 | DistToTarget: 127.6 | Colliding: False | NearestObstacle: 92.9
Step 95 | Time: 1.583s | Pos: (717.9, 289.5) | Vel: (91.2, -41.0) | Orient: -0.08 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 126.0 | Colliding: False | NearestObstacle: 93.0
Step 96 | Time: 1.600s | Pos: (719.4, 288.8) | Vel: (91.5, -40.5) | Orient: -0.08 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 124.4 | Colliding: False | NearestObstacle: 93.1
Step 97 | Time: 1.617s | Pos: (720.9, 288.2) | Vel: (91.7, -39.9) | Orient: -0.08 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 122.9 | Colliding: False | NearestObstacle: 93.2
Step 98 | Time: 1.633s | Pos: (722.5, 287.5) | Vel: (92.0, -39.3) | Orient: -0.07 rad | AngVel: 0.24 | Speed: 100.0 | DistToTarget: 121.3 | Colliding: False | NearestObstacle: 93.3
Step 99 | Time: 1.650s | Pos: (724.0, 286.9) | Vel: (92.2, -38.7) | Orient: -0.07 rad | AngVel: 0.26 | Speed: 100.0 | DistToTarget: 119.7 | Colliding: False | NearestObstacle: 93.5
Step 100 | Time: 1.667s | Pos: (725.6, 286.3) | Vel: (92.5, -38.0) | Orient: -0.06 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 118.1 | Colliding: False | NearestObstacle: 93.6
Step 101 | Time: 1.683s | Pos: (727.1, 285.6) | Vel: (92.7, -37.4) | Orient: -0.06 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 116.5 | Colliding: False | NearestObstacle: 93.8
Step 102 | Time: 1.700s | Pos: (728.7, 285.0) | Vel: (93.0, -36.7) | Orient: -0.05 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 115.0 | Colliding: False | NearestObstacle: 93.9
Step 103 | Time: 1.717s | Pos: (730.2, 284.4) | Vel: (93.3, -36.1) | Orient: -0.05 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 113.4 | Colliding: False | NearestObstacle: 94.1
Step 104 | Time: 1.733s | Pos: (731.8, 283.8) | Vel: (93.5, -35.4) | Orient: -0.04 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 111.8 | Colliding: False | NearestObstacle: 94.3
Step 105 | Time: 1.750s | Pos: (733.3, 283.2) | Vel: (93.8, -34.7) | Orient: -0.04 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 110.2 | Colliding: False | NearestObstacle: 94.5
Step 106 | Time: 1.767s | Pos: (734.9, 282.7) | Vel: (94.1, -34.0) | Orient: -0.04 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 108.6 | Colliding: False | NearestObstacle: 94.7
Step 107 | Time: 1.783s | Pos: (736.5, 282.1) | Vel: (94.3, -33.2) | Orient: -0.03 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 107.0 | Colliding: False | NearestObstacle: 94.9
Step 108 | Time: 1.800s | Pos: (738.0, 281.6) | Vel: (94.6, -32.5) | Orient: -0.03 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 105.4 | Colliding: False | NearestObstacle: 95.2
Step 109 | Time: 1.817s | Pos: (739.6, 281.1) | Vel: (94.8, -31.8) | Orient: -0.02 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 103.8 | Colliding: False | NearestObstacle: 95.4
Step 110 | Time: 1.833s | Pos: (741.2, 280.5) | Vel: (95.1, -31.0) | Orient: -0.02 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 102.3 | Colliding: False | NearestObstacle: 95.7
Step 111 | Time: 1.850s | Pos: (742.8, 280.0) | Vel: (95.3, -30.2) | Orient: -0.01 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 100.7 | Colliding: False | NearestObstacle: 95.9
Step 112 | Time: 1.867s | Pos: (744.4, 279.5) | Vel: (95.6, -29.5) | Orient: -0.01 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 99.1 | Colliding: False | NearestObstacle: 96.2
Step 113 | Time: 1.883s | Pos: (746.0, 279.1) | Vel: (95.8, -28.7) | Orient: -0.00 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 97.5 | Colliding: False | NearestObstacle: 96.5
Step 114 | Time: 1.900s | Pos: (747.6, 278.6) | Vel: (96.0, -27.9) | Orient: 0.00 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 95.9 | Colliding: False | NearestObstacle: 96.8
Step 115 | Time: 1.917s | Pos: (749.2, 278.1) | Vel: (96.3, -27.1) | Orient: 0.01 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 94.3 | Colliding: False | NearestObstacle: 97.1
Step 116 | Time: 1.933s | Pos: (750.8, 277.7) | Vel: (96.5, -26.3) | Orient: 0.01 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 92.7 | Colliding: False | NearestObstacle: 97.4
Step 117 | Time: 1.950s | Pos: (752.4, 277.3) | Vel: (96.7, -25.5) | Orient: 0.02 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 91.0 | Colliding: False | NearestObstacle: 97.7
Step 118 | Time: 1.967s | Pos: (754.0, 276.9) | Vel: (96.9, -24.7) | Orient: 0.02 rad | AngVel: 0.29 | Speed: 100.0 | DistToTarget: 89.4 | Colliding: False | NearestObstacle: 98.0
Step 119 | Time: 1.983s | Pos: (755.7, 276.5) | Vel: (97.1, -23.8) | Orient: 0.03 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 87.8 | Colliding: False | NearestObstacle: 98.4
Step 120 | Time: 2.000s | Pos: (757.3, 276.1) | Vel: (97.3, -23.0) | Orient: 0.03 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 86.2 | Colliding: False | NearestObstacle: 98.7
Step 121 | Time: 2.017s | Pos: (758.9, 275.7) | Vel: (97.5, -22.2) | Orient: 0.04 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 84.6 | Colliding: False | NearestObstacle: 99.1
Step 122 | Time: 2.033s | Pos: (760.5, 275.4) | Vel: (97.7, -21.3) | Orient: 0.04 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 83.0 | Colliding: False | NearestObstacle: 99.4
Step 123 | Time: 2.050s | Pos: (762.2, 275.0) | Vel: (97.9, -20.5) | Orient: 0.05 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 81.4 | Colliding: False | NearestObstacle: 99.8
Step 124 | Time: 2.067s | Pos: (763.8, 274.7) | Vel: (98.1, -19.6) | Orient: 0.05 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 79.8 | Colliding: False | NearestObstacle: 100.2
