Step 93 | Time: 1.550s | Pos: (790.5, 366.9) | Vel: (241.4, 31.3) | Orient: -0.92 rad | AngVel: -0.69 | Speed: 243.4 | DistToTarget: 302.3 | Colliding: False | NearestObstacle: 71.8
Step 94 | Time: 1.567s | Pos: (794.4, 367.5) | Vel: (238.3, 39.6) | Orient: -0.94 rad | AngVel: -0.70 | Speed: 241.6 | DistToTarget: 300.4 | Colliding: False | NearestObstacle: 70.1
Step 95 | Time: 1.583s | Pos: (798.4, 368.3) | Vel: (236.1, 48.4) | Orient: -0.95 rad | AngVel: -0.72 | Speed: 241.0 | DistToTarget: 298.8 | Colliding: False | NearestObstacle: 68.8
Step 96 | Time: 1.600s | Pos: (802.3, 369.3) | Vel: (234.9, 57.3) | Orient: -0.96 rad | AngVel: -0.75 | Speed: 241.8 | DistToTarget: 297.3 | Colliding: False | NearestObstacle: 67.6
Step 97 | Time: 1.617s | Pos: (806.2, 370.4) | Vel: (234.9, 65.7) | Orient: -0.97 rad | AngVel: -0.77 | Speed: 243.9 | DistToTarget: 296.0 | Colliding: False | NearestObstacle: 66.8
Step 98 | Time: 1.633s | Pos: (810.1, 371.6) | Vel: (236.1, 73.2) | Orient: -0.99 rad | AngVel: -0.80 | Speed: 247.2 | DistToTarget: 294.8 | Colliding: False | NearestObstacle: 66.2
Step 99 | Time: 1.650s | Pos: (814.1, 372.9) | Vel: (238.7, 79.2) | Orient: -1.00 rad | AngVel: -0.82 | Speed: 251.5 | DistToTarget: 293.8 | Colliding: False | NearestObstacle: 65.9
Step 100 | Time: 1.667s | Pos: (818.1, 374.3) | Vel: (242.7, 83.3) | Orient: -1.01 rad | AngVel: -0.85 | Speed: 256.6 | DistToTarget: 292.8 | Colliding: False | NearestObstacle: 65.8
Step 101 | Time: 1.683s | Pos: (822.3, 375.7) | Vel: (247.9, 85.1) | Orient: -1.03 rad | AngVel: -0.88 | Speed: 262.1 | DistToTarget: 291.8 | Colliding: False | NearestObstacle: 65.8
Step 102 | Time: 1.700s | Pos: (826.5, 377.1) | Vel: (254.3, 84.4) | Orient: -1.04 rad | AngVel: -0.90 | Speed: 268.0 | DistToTarget: 290.9 | Colliding: False | NearestObstacle: 66.0
Step 103 | Time: 1.717s | Pos: (830.9, 378.5) | Vel: (261.8, 81.3) | Orient: -1.06 rad | AngVel: -0.93 | Speed: 274.1 | DistToTarget: 289.9 | Colliding: False | NearestObstacle: 66.4
Step 104 | Time: 1.733s | Pos: (835.4, 379.7) | Vel: (270.0, 75.6) | Orient: -1.08 rad | AngVel: -0.95 | Speed: 280.4 | DistToTarget: 288.9 | Colliding: False | NearestObstacle: 66.8
Step 105 | Time: 1.750s | Pos: (840.0, 380.9) | Vel: (278.7, 67.8) | Orient: -1.09 rad | AngVel: -0.97 | Speed: 286.8 | DistToTarget: 287.7 | Colliding: False | NearestObstacle: 67.3
Step 106 | Time: 1.767s | Pos: (844.8, 381.8) | Vel: (287.7, 58.0) | Orient: -1.11 rad | AngVel: -0.99 | Speed: 293.5 | DistToTarget: 286.4 | Colliding: False | NearestObstacle: 67.8
Step 107 | Time: 1.783s | Pos: (849.8, 382.6) | Vel: (296.7, 46.5) | Orient: -1.12 rad | AngVel: -1.01 | Speed: 300.3 | DistToTarget: 284.9 | Colliding: False | NearestObstacle: 68.3
Step 108 | Time: 1.800s | Pos: (854.9, 383.2) | Vel: (305.5, 33.6) | Orient: -1.14 rad | AngVel: -1.03 | Speed: 307.4 | DistToTarget: 283.3 | Colliding: False | NearestObstacle: 68.9
Step 109 | Time: 1.817s | Pos: (860.1, 383.5) | Vel: (313.9, 19.6) | Orient: -1.16 rad | AngVel: -1.05 | Speed: 314.5 | DistToTarget: 281.4 | Colliding: False | NearestObstacle: 69.5
Step 110 | Time: 1.833s | Pos: (865.5, 383.6) | Vel: (321.8, 4.8) | Orient: -1.18 rad | AngVel: -1.06 | Speed: 321.8 | DistToTarget: 279.4 | Colliding: False | NearestObstacle: 70.1
Step 111 | Time: 1.850s | Pos: (870.9, 383.4) | Vel: (328.9, -10.8) | Orient: -1.20 rad | AngVel: -1.08 | Speed: 329.1 | DistToTarget: 277.2 | Colliding: False | NearestObstacle: 70.8
Step 112 | Time: 1.867s | Pos: (876.5, 383.0) | Vel: (335.2, -26.9) | Orient: -1.21 rad | AngVel: -1.10 | Speed: 336.3 | DistToTarget: 274.8 | Colliding: False | NearestObstacle: 71.5
