Step 101 | Time: 1.683s | Pos: (459.8, 529.7) | Vel: (-331.7, 284.2) | Orient: 2.84 rad | AngVel: 1.65 | Speed: 436.8 | DistToTarget: 98.2 | Colliding: False | NearestObstacle: 87.4
Step 102 | Time: 1.700s | Pos: (454.1, 534.1) | Vel: (-341.2, 260.3) | Orient: 2.87 rad | AngVel: 1.60 | Speed: 429.1 | DistToTarget: 91.5 | Colliding: False | NearestObstacle: 91.2
Step 103 | Time: 1.717s | Pos: (448.3, 538.0) | Vel: (-349.7, 237.2) | Orient: 2.89 rad | AngVel: 1.55 | Speed: 422.5 | DistToTarget: 84.9 | Colliding: False | NearestObstacle: 94.9
Step 104 | Time: 1.733s | Pos: (442.4, 541.6) | Vel: (-357.2, 215.1) | Orient: 2.92 rad | AngVel: 1.51 | Speed: 416.9 | DistToTarget: 78.3 | Colliding: False | NearestObstacle: 98.5
Step 105 | Time: 1.750s | Pos: (436.3, 544.8) | Vel: (-363.7, 193.9) | Orient: 2.94 rad | AngVel: 1.48 | Speed: 412.1 | DistToTarget: 71.6 | Colliding: False | NearestObstacle: 102.1
Step 106 | Time: 1.767s | Pos: (430.1, 547.7) | Vel: (-369.2, 173.7) | Orient: 2.97 rad | AngVel: 1.46 | Speed: 408.0 | DistToTarget: 65.1 | Colliding: False | NearestObstacle: 105.6
Step 107 | Time: 1.783s | Pos: (423.9, 550.3) | Vel: (-373.8, 154.6) | Orient: 2.99 rad | AngVel: 1.45 | Speed: 404.5 | DistToTarget: 58.5 | Colliding: False | NearestObstacle: 109.1
Step 108 | Time: 1.800s | Pos: (417.6, 552.6) | Vel: (-377.5, 136.4) | Orient: 3.02 rad | AngVel: 1.45 | Speed: 401.4 | DistToTarget: 52.0 | Colliding: False | NearestObstacle: 112.5
Step 109 | Time: 1.817s | Pos: (411.3, 554.6) | Vel: (-380.5, 119.1) | Orient: 3.04 rad | AngVel: 1.48 | Speed: 398.7 | DistToTarget: 45.4 | Colliding: False | NearestObstacle: 115.9
Step 110 | Time: 1.833s | Pos: (404.9, 556.3) | Vel: (-382.8, 102.6) | Orient: 3.07 rad | AngVel: 1.53 | Speed: 396.3 | DistToTarget: 38.9 | Colliding: False | NearestObstacle: 119.3
Step 111 | Time: 1.850s | Pos: (398.5, 557.7) | Vel: (-384.4, 86.5) | Orient: 3.09 rad | AngVel: 1.64 | Speed: 394.0 | DistToTarget: 32.4 | Colliding: False | NearestObstacle: 122.6
Step 112 | Time: 1.867s | Pos: (392.1, 558.9) | Vel: (-385.3, 70.7) | Orient: 3.12 rad | AngVel: 1.81 | Speed: 391.7 | DistToTarget: 26.0 | Colliding: False | NearestObstacle: 125.9
Step 113 | Time: 1.883s | Pos: (385.6, 559.8) | Vel: (-385.5, 54.5) | Orient: -3.12 rad | AngVel: 2.11 | Speed: 389.4 | DistToTarget: 19.6 | Colliding: False | NearestObstacle: 129.2
Step 114 | Time: 1.900s | Pos: (379.2, 560.4) | Vel: (-385.1, 37.3) | Orient: -3.08 rad | AngVel: 2.67 | Speed: 386.9 | DistToTarget: 13.2 | Colliding: False | NearestObstacle: 132.4
Step 115 | Time: 1.917s | Pos: (372.8, 560.7) | Vel: (-383.7, 17.0) | Orient: -3.02 rad | AngVel: 3.87 | Speed: 384.1 | DistToTarget: 6.9 | Colliding: False | NearestObstacle: 135.5
Step 116 | Time: 1.933s | Pos: (366.5, 560.5) | Vel: (-379.7, -13.3) | Orient: -2.89 rad | AngVel: 7.54 | Speed: 379.9 | DistToTarget: 1.5 | Colliding: False | NearestObstacle: 138.3
Step 117 | Time: 1.950s | Pos: (361.6, 558.5) | Vel: (-295.7, -120.6) | Orient: -2.08 rad | AngVel: 48.38 | Speed: 319.4 | DistToTarget: 4.5 | Colliding: False | NearestObstacle: 139.1
Step 118 | Time: 1.967s | Pos: (359.9, 557.3) | Vel: (-99.4, -70.0) | Orient: -0.15 rad | AngVel: 115.99 | Speed: 121.6 | DistToTarget: 6.4 | Colliding: False | NearestObstacle: 139.0
Step 119 | Time: 1.983s | Pos: (360.3, 556.9) | Vel: (25.1, -27.0) | Orient: 1.09 rad | AngVel: 74.39 | Speed: 36.9 | DistToTarget: 6.2 | Colliding: False | NearestObstacle: 138.3
