Step 101 | Time: 1.683s | Pos: (746.3, 660.1) | Vel: (74.4, 238.4) | Orient: -0.02 rad | AngVel: -0.92 | Speed: 249.8 | DistToTarget: 262.1 | Colliding: False | NearestObstacle: 87.2
Step 102 | Time: 1.700s | Pos: (747.5, 664.2) | Vel: (76.5, 243.2) | Orient: -0.04 rad | AngVel: -0.95 | Speed: 255.0 | DistToTarget: 261.0 | Colliding: False | NearestObstacle: 87.4
Step 103 | Time: 1.717s | Pos: (748.9, 668.3) | Vel: (81.0, 247.2) | Orient: -0.05 rad | AngVel: -0.97 | Speed: 260.1 | DistToTarget: 259.8 | Colliding: False | NearestObstacle: 87.8
Step 104 | Time: 1.733s | Pos: (750.3, 672.5) | Vel: (87.8, 250.3) | Orient: -0.07 rad | AngVel: -0.99 | Speed: 265.2 | DistToTarget: 258.6 | Colliding: False | NearestObstacle: 88.2
Step 105 | Time: 1.750s | Pos: (752.0, 676.7) | Vel: (96.6, 252.4) | Orient: -0.09 rad | AngVel: -1.01 | Speed: 270.3 | DistToTarget: 257.4 | Colliding: False | NearestObstacle: 88.8
Step 106 | Time: 1.767s | Pos: (753.7, 680.9) | Vel: (107.2, 253.6) | Orient: -0.10 rad | AngVel: -1.03 | Speed: 275.4 | DistToTarget: 256.0 | Colliding: False | NearestObstacle: 89.3
Step 107 | Time: 1.783s | Pos: (755.7, 685.1) | Vel: (119.2, 253.9) | Orient: -0.12 rad | AngVel: -1.05 | Speed: 280.5 | DistToTarget: 254.5 | Colliding: False | NearestObstacle: 89.9
Step 108 | Time: 1.800s | Pos: (757.9, 689.4) | Vel: (132.3, 253.1) | Orient: -0.14 rad | AngVel: -1.06 | Speed: 285.6 | DistToTarget: 252.8 | Colliding: False | NearestObstacle: 90.5
Step 109 | Time: 1.817s | Pos: (760.4, 693.6) | Vel: (146.2, 251.5) | Orient: -0.16 rad | AngVel: -1.08 | Speed: 290.9 | DistToTarget: 251.1 | Colliding: False | NearestObstacle: 91.1
Step 110 | Time: 1.833s | Pos: (763.0, 697.7) | Vel: (160.6, 249.0) | Orient: -0.17 rad | AngVel: -1.09 | Speed: 296.3 | DistToTarget: 249.1 | Colliding: False | NearestObstacle: 91.7
Step 111 | Time: 1.850s | Pos: (766.0, 701.8) | Vel: (175.2, 245.6) | Orient: -0.19 rad | AngVel: -1.10 | Speed: 301.7 | DistToTarget: 247.0 | Colliding: False | NearestObstacle: 92.3
Step 112 | Time: 1.867s | Pos: (769.1, 705.8) | Vel: (189.9, 241.4) | Orient: -0.21 rad | AngVel: -1.12 | Speed: 307.2 | DistToTarget: 244.7 | Colliding: False | NearestObstacle: 92.9
Step 113 | Time: 1.883s | Pos: (772.5, 709.8) | Vel: (204.6, 236.4) | Orient: -0.23 rad | AngVel: -1.13 | Speed: 312.7 | DistToTarget: 242.2 | Colliding: False | NearestObstacle: 93.5
