Step 102 | Time: 1.700s | Pos: (767.5, 349.2) | Vel: (77.8, -62.8) | Orient: -0.42 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 201.2 | Colliding: False | NearestObstacle: 40.8
Step 103 | Time: 1.717s | Pos: (768.8, 348.1) | Vel: (74.8, -66.4) | Orient: -0.41 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 199.6 | Colliding: False | NearestObstacle: 40.0
Step 104 | Time: 1.733s | Pos: (770.0, 347.0) | Vel: (71.6, -69.8) | Orient: -0.41 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 198.1 | Colliding: False | NearestObstacle: 39.3
Step 105 | Time: 1.750s | Pos: (771.1, 345.7) | Vel: (68.2, -73.1) | Orient: -0.41 rad | AngVel: 0.20 | Speed: 100.0 | DistToTarget: 196.5 | Colliding: False | NearestObstacle: 38.7
Step 106 | Time: 1.767s | Pos: (772.2, 344.5) | Vel: (64.8, -76.2) | Orient: -0.40 rad | AngVel: 0.23 | Speed: 100.0 | DistToTarget: 195.1 | Colliding: False | NearestObstacle: 38.2
Step 107 | Time: 1.783s | Pos: (773.2, 343.2) | Vel: (61.4, -78.9) | Orient: -0.40 rad | AngVel: 0.25 | Speed: 100.0 | DistToTarget: 193.6 | Colliding: False | NearestObstacle: 37.8
Step 108 | Time: 1.800s | Pos: (774.2, 341.8) | Vel: (58.2, -81.3) | Orient: -0.39 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 192.2 | Colliding: False | NearestObstacle: 37.6
Step 109 | Time: 1.817s | Pos: (775.1, 340.4) | Vel: (55.3, -83.3) | Orient: -0.39 rad | AngVel: 0.30 | Speed: 100.0 | DistToTarget: 190.8 | Colliding: False | NearestObstacle: 37.4
Step 110 | Time: 1.833s | Pos: (776.0, 339.0) | Vel: (52.8, -84.9) | Orient: -0.38 rad | AngVel: 0.32 | Speed: 100.0 | DistToTarget: 189.5 | Colliding: False | NearestObstacle: 37.3
Step 111 | Time: 1.850s | Pos: (776.8, 337.6) | Vel: (50.8, -86.2) | Orient: -0.38 rad | AngVel: 0.33 | Speed: 100.0 | DistToTarget: 188.1 | Colliding: False | NearestObstacle: 37.3
