Step 79 | Time: 1.317s | Pos: (592.9, 425.8) | Vel: (-20.9, 97.8) | Orient: 1.52 rad | AngVel: -0.24 | Speed: 100.0 | DistToTarget: 106.9 | Colliding: False | NearestObstacle: 109.0
Step 80 | Time: 1.333s | Pos: (592.6, 427.5) | Vel: (-19.8, 98.0) | Orient: 1.52 rad | AngVel: -0.23 | Speed: 100.0 | DistToTarget: 105.3 | Colliding: False | NearestObstacle: 109.0
Step 81 | Time: 1.350s | Pos: (592.3, 429.1) | Vel: (-18.8, 98.2) | Orient: 1.51 rad | AngVel: -0.23 | Speed: 100.0 | DistToTarget: 103.6 | Colliding: False | NearestObstacle: 108.9
Step 82 | Time: 1.367s | Pos: (592.0, 430.7) | Vel: (-17.7, 98.4) | Orient: 1.51 rad | AngVel: -0.23 | Speed: 100.0 | DistToTarget: 102.0 | Colliding: False | NearestObstacle: 108.9
Step 83 | Time: 1.383s | Pos: (591.7, 432.4) | Vel: (-16.7, 98.6) | Orient: 1.51 rad | AngVel: -0.23 | Speed: 100.0 | DistToTarget: 100.4 | Colliding: False | NearestObstacle: 108.8
Step 84 | Time: 1.400s | Pos: (591.4, 434.0) | Vel: (-15.6, 98.8) | Orient: 1.50 rad | AngVel: -0.22 | Speed: 100.0 | DistToTarget: 98.8 | Colliding: False | NearestObstacle: 108.7
Step 85 | Time: 1.417s | Pos: (591.2, 435.7) | Vel: (-14.6, 98.9) | Orient: 1.50 rad | AngVel: -0.22 | Speed: 100.0 | DistToTarget: 97.1 | Colliding: False | NearestObstacle: 108.7
Step 86 | Time: 1.433s | Pos: (591.0, 437.3) | Vel: (-13.6, 99.1) | Orient: 1.50 rad | AngVel: -0.22 | Speed: 100.0 | DistToTarget: 95.5 | Colliding: False | NearestObstacle: 108.7
Step 87 | Time: 1.450s | Pos: (590.8, 439.0) | Vel: (-12.5, 99.2) | Orient: 1.49 rad | AngVel: -0.21 | Speed: 100.0 | DistToTarget: 93.9 | Colliding: False | NearestObstacle: 108.1
Step 88 | Time: 1.467s | Pos: (590.6, 440.6) | Vel: (-11.5, 99.3) | Orient: 1.49 rad | AngVel: -0.21 | Speed: 100.0 | DistToTarget: 92.2 | Colliding: False | NearestObstacle: 107.2
Step 89 | Time: 1.483s | Pos: (590.4, 442.3) | Vel: (-10.5, 99.4) | Orient: 1.48 rad | AngVel: -0.21 | Speed: 100.0 | DistToTarget: 90.6 | Colliding: False | NearestObstacle: 106.4
Step 90 | Time: 1.500s | Pos: (590.2, 443.9) | Vel: (-9.5, 99.5) | Orient: 1.48 rad | AngVel: -0.20 | Speed: 100.0 | DistToTarget: 89.0 | Colliding: False | NearestObstacle: 105.6
Step 91 | Time: 1.517s | Pos: (590.1, 445.6) | Vel: (-8.5, 99.6) | Orient: 1.48 rad | AngVel: -0.20 | Speed: 100.0 | DistToTarget: 87.3 | Colliding: False | NearestObstacle: 104.9
Step 92 | Time: 1.533s | Pos: (590.0, 447.3) | Vel: (-7.5, 99.7) | Orient: 1.47 rad | AngVel: -0.20 | Speed: 100.0 | DistToTarget: 85.7 | Colliding: False | NearestObstacle: 104.1
Step 93 | Time: 1.550s | Pos: (589.9, 448.9) | Vel: (-6.5, 99.8) | Orient: 1.47 rad | AngVel: -0.19 | Speed: 100.0 | DistToTarget: 84.0 | Colliding: False | NearestObstacle: 103.4
Step 94 | Time: 1.567s | Pos: (589.8, 450.6) | Vel: (-5.5, 99.8) | Orient: 1.47 rad | AngVel: -0.19 | Speed: 100.0 | DistToTarget: 82.4 | Colliding: False | NearestObstacle: 102.7
Step 95 | Time: 1.583s | Pos: (589.7, 452.3) | Vel: (-4.5, 99.9) | Orient: 1.47 rad | AngVel: -0.18 | Speed: 100.0 | DistToTarget: 80.7 | Colliding: False | NearestObstacle: 102.1
Step 96 | Time: 1.600s | Pos: (589.6, 453.9) | Vel: (-3.6, 99.9) | Orient: 1.46 rad | AngVel: -0.18 | Speed: 100.0 | DistToTarget: 79.1 | Colliding: False | NearestObstacle: 101.5
Step 97 | Time: 1.617s | Pos: (589.6, 455.6) | Vel: (-2.6, 100.0) | Orient: 1.46 rad | AngVel: -0.17 | Speed: 100.0 | DistToTarget: 77.4 | Colliding: False | NearestObstacle: 100.9
Step 98 | Time: 1.633s | Pos: (589.6, 457.3) | Vel: (-1.7, 100.0) | Orient: 1.46 rad | AngVel: -0.17 | Speed: 100.0 | DistToTarget: 75.8 | Colliding: False | NearestObstacle: 100.4
Step 99 | Time: 1.650s | Pos: (589.6, 458.9) | Vel: (-0.7, 100.0) | Orient: 1.45 rad | AngVel: -0.16 | Speed: 100.0 | DistToTarget: 74.1 | Colliding: False | NearestObstacle: 99.9
Step 100 | Time: 1.667s | Pos: (589.6, 460.6) | Vel: (0.2, 100.0) | Orient: 1.45 rad | AngVel: -0.16 | Speed: 100.0 | DistToTarget: 72.5 | Colliding: False | NearestObstacle: 99.4
Step 101 | Time: 1.683s | Pos: (589.6, 462.3) | Vel: (1.1, 100.0) | Orient: 1.45 rad | AngVel: -0.15 | Speed: 100.0 | DistToTarget: 70.8 | Colliding: False | NearestObstacle: 98.9
Step 102 | Time: 1.700s | Pos: (589.6, 463.9) | Vel: (2.0, 100.0) | Orient: 1.45 rad | AngVel: -0.15 | Speed: 100.0 | DistToTarget: 69.2 | Colliding: False | NearestObstacle: 98.5
Step 103 | Time: 1.717s | Pos: (589.7, 465.6) | Vel: (2.8, 100.0) | Orient: 1.44 rad | AngVel: -0.14 | Speed: 100.0 | DistToTarget: 67.5 | Colliding: False | NearestObstacle: 98.2
Step 104 | Time: 1.733s | Pos: (589.7, 467.3) | Vel: (3.7, 99.9) | Orient: 1.44 rad | AngVel: -0.14 | Speed: 100.0 | DistToTarget: 65.8 | Colliding: False | NearestObstacle: 97.8
Step 105 | Time: 1.750s | Pos: (589.8, 468.9) | Vel: (4.5, 99.9) | Orient: 1.44 rad | AngVel: -0.13 | Speed: 100.0 | DistToTarget: 64.2 | Colliding: False | NearestObstacle: 97.5
Step 106 | Time: 1.767s | Pos: (589.9, 470.6) | Vel: (5.3, 99.9) | Orient: 1.44 rad | AngVel: -0.13 | Speed: 100.0 | DistToTarget: 62.5 | Colliding: False | NearestObstacle: 97.2
