Step 79 | Time: 1.317s | Pos: (631.2, 266.4) | Vel: (66.9, -200.3) | Orient: -0.17 rad | AngVel: 0.77 | Speed: 211.2 | DistToTarget: 240.0 | Colliding: False | NearestObstacle: 109.2
Step 80 | Time: 1.333s | Pos: (632.4, 263.0) | Vel: (71.9, -202.4) | Orient: -0.16 rad | AngVel: 0.79 | Speed: 214.8 | DistToTarget: 238.3 | Colliding: False | NearestObstacle: 109.2
Step 81 | Time: 1.350s | Pos: (633.7, 259.6) | Vel: (77.2, -204.3) | Orient: -0.14 rad | AngVel: 0.80 | Speed: 218.4 | DistToTarget: 236.5 | Colliding: False | NearestObstacle: 109.2
Step 82 | Time: 1.367s | Pos: (635.1, 256.2) | Vel: (83.0, -205.9) | Orient: -0.13 rad | AngVel: 0.82 | Speed: 222.0 | DistToTarget: 234.7 | Colliding: False | NearestObstacle: 109.2
Step 83 | Time: 1.383s | Pos: (636.6, 252.7) | Vel: (89.1, -207.3) | Orient: -0.11 rad | AngVel: 0.84 | Speed: 225.6 | DistToTarget: 232.8 | Colliding: False | NearestObstacle: 109.3
Step 84 | Time: 1.400s | Pos: (638.2, 249.2) | Vel: (95.6, -208.4) | Orient: -0.10 rad | AngVel: 0.85 | Speed: 229.2 | DistToTarget: 230.8 | Colliding: False | NearestObstacle: 109.4
Step 85 | Time: 1.417s | Pos: (639.9, 245.7) | Vel: (102.2, -209.2) | Orient: -0.09 rad | AngVel: 0.87 | Speed: 232.8 | DistToTarget: 228.8 | Colliding: False | NearestObstacle: 109.5
Step 86 | Time: 1.433s | Pos: (641.7, 242.3) | Vel: (109.1, -209.7) | Orient: -0.07 rad | AngVel: 0.88 | Speed: 236.3 | DistToTarget: 226.7 | Colliding: False | NearestObstacle: 109.6
Step 87 | Time: 1.450s | Pos: (643.6, 238.8) | Vel: (116.1, -209.9) | Orient: -0.06 rad | AngVel: 0.90 | Speed: 239.9 | DistToTarget: 224.6 | Colliding: False | NearestObstacle: 109.7
Step 88 | Time: 1.467s | Pos: (645.7, 235.3) | Vel: (123.3, -209.8) | Orient: -0.04 rad | AngVel: 0.91 | Speed: 243.4 | DistToTarget: 222.4 | Colliding: False | NearestObstacle: 109.8
Step 89 | Time: 1.483s | Pos: (647.9, 231.8) | Vel: (130.6, -209.5) | Orient: -0.03 rad | AngVel: 0.93 | Speed: 246.8 | DistToTarget: 220.1 | Colliding: False | NearestObstacle: 110.0
Step 90 | Time: 1.500s | Pos: (650.2, 228.3) | Vel: (137.9, -208.8) | Orient: -0.01 rad | AngVel: 0.94 | Speed: 250.3 | DistToTarget: 217.7 | Colliding: False | NearestObstacle: 110.2
Step 91 | Time: 1.517s | Pos: (652.6, 224.8) | Vel: (145.4, -207.9) | Orient: 0.01 rad | AngVel: 0.96 | Speed: 253.7 | DistToTarget: 215.3 | Colliding: False | NearestObstacle: 110.4
Step 92 | Time: 1.533s | Pos: (655.1, 221.4) | Vel: (152.9, -206.6) | Orient: 0.02 rad | AngVel: 0.97 | Speed: 257.0 | DistToTarget: 212.8 | Colliding: False | NearestObstacle: 110.6
Step 93 | Time: 1.550s | Pos: (657.8, 218.0) | Vel: (160.4, -205.0) | Orient: 0.04 rad | AngVel: 0.99 | Speed: 260.3 | DistToTarget: 210.2 | Colliding: False | NearestObstacle: 110.8
Step 94 | Time: 1.567s | Pos: (660.6, 214.6) | Vel: (167.9, -203.1) | Orient: 0.06 rad | AngVel: 1.01 | Speed: 263.5 | DistToTarget: 207.6 | Colliding: False | NearestObstacle: 111.1
Step 95 | Time: 1.583s | Pos: (663.5, 211.2) | Vel: (175.5, -200.8) | Orient: 0.07 rad | AngVel: 1.03 | Speed: 266.6 | DistToTarget: 204.9 | Colliding: False | NearestObstacle: 111.4
Step 96 | Time: 1.600s | Pos: (666.6, 207.9) | Vel: (183.0, -198.2) | Orient: 0.09 rad | AngVel: 1.04 | Speed: 269.7 | DistToTarget: 202.1 | Colliding: False | NearestObstacle: 111.7
Step 97 | Time: 1.617s | Pos: (669.8, 204.7) | Vel: (190.5, -195.2) | Orient: 0.11 rad | AngVel: 1.06 | Speed: 272.7 | DistToTarget: 199.3 | Colliding: False | NearestObstacle: 112.0
Step 98 | Time: 1.633s | Pos: (673.1, 201.5) | Vel: (198.0, -191.9) | Orient: 0.13 rad | AngVel: 1.08 | Speed: 275.7 | DistToTarget: 196.4 | Colliding: False | NearestObstacle: 112.4
Step 99 | Time: 1.650s | Pos: (676.5, 198.3) | Vel: (205.4, -188.1) | Orient: 0.14 rad | AngVel: 1.10 | Speed: 278.5 | DistToTarget: 193.4 | Colliding: False | NearestObstacle: 112.8
Step 100 | Time: 1.667s | Pos: (680.0, 195.3) | Vel: (212.7, -184.1) | Orient: 0.16 rad | AngVel: 1.12 | Speed: 281.3 | DistToTarget: 190.4 | Colliding: False | NearestObstacle: 113.2
Step 101 | Time: 1.683s | Pos: (683.7, 192.3) | Vel: (219.9, -179.6) | Orient: 0.18 rad | AngVel: 1.14 | Speed: 283.9 | DistToTarget: 187.3 | Colliding: False | NearestObstacle: 113.7
Step 102 | Time: 1.700s | Pos: (687.5, 189.4) | Vel: (227.1, -174.7) | Orient: 0.20 rad | AngVel: 1.16 | Speed: 286.5 | DistToTarget: 184.1 | Colliding: False | NearestObstacle: 114.1
Step 103 | Time: 1.717s | Pos: (691.4, 186.5) | Vel: (234.1, -169.5) | Orient: 0.22 rad | AngVel: 1.18 | Speed: 289.0 | DistToTarget: 180.9 | Colliding: False | NearestObstacle: 114.7
Step 104 | Time: 1.733s | Pos: (695.4, 183.8) | Vel: (240.9, -163.8) | Orient: 0.24 rad | AngVel: 1.20 | Speed: 291.4 | DistToTarget: 177.6 | Colliding: False | NearestObstacle: 115.2
Step 105 | Time: 1.750s | Pos: (699.5, 181.2) | Vel: (247.6, -157.8) | Orient: 0.26 rad | AngVel: 1.22 | Speed: 293.7 | DistToTarget: 174.3 | Colliding: False | NearestObstacle: 115.7
Step 106 | Time: 1.767s | Pos: (703.8, 178.7) | Vel: (254.1, -151.4) | Orient: 0.28 rad | AngVel: 1.24 | Speed: 295.8 | DistToTarget: 170.9 | Colliding: False | NearestObstacle: 116.3
Step 107 | Time: 1.783s | Pos: (708.1, 176.2) | Vel: (260.4, -144.6) | Orient: 0.30 rad | AngVel: 1.26 | Speed: 297.9 | DistToTarget: 167.4 | Colliding: False | NearestObstacle: 116.9
Step 108 | Time: 1.800s | Pos: (712.5, 174.0) | Vel: (266.5, -137.4) | Orient: 0.32 rad | AngVel: 1.28 | Speed: 299.8 | DistToTarget: 163.9 | Colliding: False | NearestObstacle: 117.5
Step 109 | Time: 1.817s | Pos: (717.1, 171.8) | Vel: (272.3, -129.9) | Orient: 0.35 rad | AngVel: 1.31 | Speed: 301.7 | DistToTarget: 160.4 | Colliding: False | NearestObstacle: 118.2
