Step 70 | Time: 1.167s | Pos: (560.7, 374.2) | Vel: (-83.8, 54.6) | Orient: -2.94 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 389.1 | Colliding: False | NearestObstacle: 46.7
Step 71 | Time: 1.183s | Pos: (559.3, 375.1) | Vel: (-83.4, 55.2) | Orient: -2.93 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 388.0 | Colliding: False | NearestObstacle: 46.7
Step 72 | Time: 1.200s | Pos: (557.9, 376.0) | Vel: (-83.1, 55.6) | Orient: -2.93 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 386.8 | Colliding: False | NearestObstacle: 46.8
Step 73 | Time: 1.217s | Pos: (556.5, 376.9) | Vel: (-83.0, 55.7) | Orient: -2.93 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 385.6 | Colliding: False | NearestObstacle: 46.9
Step 74 | Time: 1.233s | Pos: (555.2, 377.9) | Vel: (-83.1, 55.6) | Orient: -2.92 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 384.5 | Colliding: False | NearestObstacle: 47.1
Step 75 | Time: 1.250s | Pos: (553.8, 378.8) | Vel: (-83.4, 55.2) | Orient: -2.92 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 383.3 | Colliding: False | NearestObstacle: 47.3
Step 76 | Time: 1.267s | Pos: (552.4, 379.7) | Vel: (-83.8, 54.6) | Orient: -2.92 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 382.2 | Colliding: False | NearestObstacle: 47.5
Step 77 | Time: 1.283s | Pos: (551.0, 380.6) | Vel: (-84.3, 53.8) | Orient: -2.91 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 381.0 | Colliding: False | NearestObstacle: 47.7
Step 78 | Time: 1.300s | Pos: (549.6, 381.5) | Vel: (-84.9, 52.9) | Orient: -2.91 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 379.8 | Colliding: False | NearestObstacle: 47.9
Step 79 | Time: 1.317s | Pos: (548.1, 382.3) | Vel: (-85.6, 51.7) | Orient: -2.91 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 378.6 | Colliding: False | NearestObstacle: 48.2
Step 80 | Time: 1.333s | Pos: (546.7, 383.2) | Vel: (-86.3, 50.5) | Orient: -2.90 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 377.4 | Colliding: False | NearestObstacle: 48.4
Step 81 | Time: 1.350s | Pos: (545.2, 384.0) | Vel: (-87.1, 49.1) | Orient: -2.90 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 376.2 | Colliding: False | NearestObstacle: 48.7
Step 82 | Time: 1.367s | Pos: (543.8, 384.8) | Vel: (-88.0, 47.6) | Orient: -2.90 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 375.0 | Colliding: False | NearestObstacle: 49.0
Step 83 | Time: 1.383s | Pos: (542.3, 385.6) | Vel: (-88.8, 46.0) | Orient: -2.90 rad | AngVel: 0.18 | Speed: 100.0 | DistToTarget: 373.7 | Colliding: False | NearestObstacle: 49.3
Step 84 | Time: 1.400s | Pos: (540.8, 386.3) | Vel: (-89.6, 44.4) | Orient: -2.89 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 372.5 | Colliding: False | NearestObstacle: 49.5
Step 85 | Time: 1.417s | Pos: (539.3, 387.0) | Vel: (-90.4, 42.7) | Orient: -2.89 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 371.2 | Colliding: False | NearestObstacle: 49.8
Step 86 | Time: 1.433s | Pos: (537.8, 387.7) | Vel: (-91.2, 41.0) | Orient: -2.89 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 369.9 | Colliding: False | NearestObstacle: 50.1
Step 87 | Time: 1.450s | Pos: (536.2, 388.3) | Vel: (-92.0, 39.3) | Orient: -2.88 rad | AngVel: 0.17 | Speed: 100.0 | DistToTarget: 368.6 | Colliding: False | NearestObstacle: 50.4
Step 88 | Time: 1.467s | Pos: (534.7, 389.0) | Vel: (-92.7, 37.5) | Orient: -2.88 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 367.2 | Colliding: False | NearestObstacle: 50.7
Step 89 | Time: 1.483s | Pos: (533.1, 389.6) | Vel: (-93.4, 35.8) | Orient: -2.88 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 365.9 | Colliding: False | NearestObstacle: 51.0
Step 90 | Time: 1.500s | Pos: (531.6, 390.1) | Vel: (-94.0, 34.0) | Orient: -2.88 rad | AngVel: 0.16 | Speed: 100.0 | DistToTarget: 364.5 | Colliding: False | NearestObstacle: 51.3
Step 91 | Time: 1.517s | Pos: (530.0, 390.7) | Vel: (-94.6, 32.3) | Orient: -2.87 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 363.1 | Colliding: False | NearestObstacle: 51.6
Step 92 | Time: 1.533s | Pos: (528.4, 391.2) | Vel: (-95.2, 30.6) | Orient: -2.87 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 361.7 | Colliding: False | NearestObstacle: 52.0
Step 93 | Time: 1.550s | Pos: (526.8, 391.7) | Vel: (-95.7, 29.0) | Orient: -2.87 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 360.3 | Colliding: False | NearestObstacle: 52.3
Step 94 | Time: 1.567s | Pos: (525.2, 392.1) | Vel: (-96.2, 27.3) | Orient: -2.87 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 358.9 | Colliding: False | NearestObstacle: 52.6
Step 95 | Time: 1.583s | Pos: (523.6, 392.6) | Vel: (-96.6, 25.7) | Orient: -2.86 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 357.5 | Colliding: False | NearestObstacle: 52.9
Step 96 | Time: 1.600s | Pos: (522.0, 393.0) | Vel: (-97.0, 24.1) | Orient: -2.86 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 356.0 | Colliding: False | NearestObstacle: 53.2
