Step 81 | Time: 1.350s | Pos: (470.4, 257.2) | Vel: (-77.7, -250.8) | Orient: -1.08 rad | AngVel: 1.10 | Speed: 262.6 | DistToTarget: 165.7 | Colliding: False | NearestObstacle: 141.4
Step 82 | Time: 1.367s | Pos: (469.2, 253.0) | Vel: (-73.3, -253.1) | Orient: -1.07 rad | AngVel: 1.13 | Speed: 263.5 | DistToTarget: 162.6 | Colliding: False | NearestObstacle: 141.6
Step 83 | Time: 1.383s | Pos: (468.1, 248.7) | Vel: (-68.6, -255.2) | Orient: -1.05 rad | AngVel: 1.15 | Speed: 264.3 | DistToTarget: 159.5 | Colliding: False | NearestObstacle: 141.8
Step 84 | Time: 1.400s | Pos: (467.0, 244.4) | Vel: (-63.6, -257.3) | Orient: -1.03 rad | AngVel: 1.18 | Speed: 265.0 | DistToTarget: 156.3 | Colliding: False | NearestObstacle: 142.1
Step 85 | Time: 1.417s | Pos: (466.0, 240.1) | Vel: (-58.4, -259.2) | Orient: -1.01 rad | AngVel: 1.20 | Speed: 265.7 | DistToTarget: 153.2 | Colliding: False | NearestObstacle: 142.4
Step 86 | Time: 1.433s | Pos: (465.2, 235.7) | Vel: (-52.9, -261.0) | Orient: -0.99 rad | AngVel: 1.23 | Speed: 266.3 | DistToTarget: 150.0 | Colliding: False | NearestObstacle: 142.7
Step 87 | Time: 1.450s | Pos: (464.4, 231.4) | Vel: (-47.3, -262.7) | Orient: -0.97 rad | AngVel: 1.26 | Speed: 266.9 | DistToTarget: 146.8 | Colliding: False | NearestObstacle: 143.0
Step 88 | Time: 1.467s | Pos: (463.7, 227.0) | Vel: (-41.4, -264.1) | Orient: -0.94 rad | AngVel: 1.28 | Speed: 267.4 | DistToTarget: 143.6 | Colliding: False | NearestObstacle: 143.3
Step 89 | Time: 1.483s | Pos: (463.1, 222.5) | Vel: (-35.2, -265.4) | Orient: -0.92 rad | AngVel: 1.31 | Speed: 267.8 | DistToTarget: 140.4 | Colliding: False | NearestObstacle: 143.6
Step 90 | Time: 1.500s | Pos: (462.6, 218.1) | Vel: (-28.9, -266.5) | Orient: -0.90 rad | AngVel: 1.34 | Speed: 268.1 | DistToTarget: 137.2 | Colliding: False | NearestObstacle: 144.0
