Step 83 | Time: 1.383s | Pos: (549.7, 397.6) | Vel: (-207.5, 125.0) | Orient: -2.52 rad | AngVel: 0.43 | Speed: 242.2 | DistToTarget: 516.4 | Colliding: False | NearestObstacle: 61.7
Step 84 | Time: 1.400s | Pos: (546.0, 399.6) | Vel: (-221.1, 123.8) | Orient: -2.51 rad | AngVel: 0.45 | Speed: 253.4 | DistToTarget: 514.6 | Colliding: False | NearestObstacle: 61.6
Step 85 | Time: 1.417s | Pos: (542.1, 401.7) | Vel: (-234.7, 122.2) | Orient: -2.50 rad | AngVel: 0.46 | Speed: 264.6 | DistToTarget: 512.6 | Colliding: False | NearestObstacle: 61.5
Step 86 | Time: 1.433s | Pos: (537.9, 403.7) | Vel: (-248.4, 120.1) | Orient: -2.50 rad | AngVel: 0.48 | Speed: 275.9 | DistToTarget: 510.5 | Colliding: False | NearestObstacle: 61.4
Step 87 | Time: 1.450s | Pos: (533.6, 405.6) | Vel: (-262.1, 117.4) | Orient: -2.49 rad | AngVel: 0.50 | Speed: 287.2 | DistToTarget: 508.2 | Colliding: False | NearestObstacle: 61.5
Step 88 | Time: 1.467s | Pos: (529.0, 407.5) | Vel: (-276.0, 113.8) | Orient: -2.48 rad | AngVel: 0.51 | Speed: 298.5 | DistToTarget: 505.7 | Colliding: False | NearestObstacle: 61.6
Step 89 | Time: 1.483s | Pos: (524.1, 409.4) | Vel: (-289.9, 109.2) | Orient: -2.47 rad | AngVel: 0.53 | Speed: 309.8 | DistToTarget: 503.1 | Colliding: False | NearestObstacle: 61.9
Step 90 | Time: 1.500s | Pos: (519.1, 411.1) | Vel: (-304.0, 103.3) | Orient: -2.46 rad | AngVel: 0.54 | Speed: 321.0 | DistToTarget: 500.2 | Colliding: False | NearestObstacle: 62.2
Step 91 | Time: 1.517s | Pos: (513.8, 412.7) | Vel: (-318.0, 96.1) | Orient: -2.45 rad | AngVel: 0.56 | Speed: 332.2 | DistToTarget: 497.1 | Colliding: False | NearestObstacle: 62.7
Step 92 | Time: 1.533s | Pos: (508.2, 414.1) | Vel: (-331.8, 87.3) | Orient: -2.44 rad | AngVel: 0.57 | Speed: 343.1 | DistToTarget: 493.8 | Colliding: False | NearestObstacle: 63.2
Step 93 | Time: 1.550s | Pos: (502.5, 415.4) | Vel: (-345.4, 76.9) | Orient: -2.43 rad | AngVel: 0.58 | Speed: 353.9 | DistToTarget: 490.2 | Colliding: False | NearestObstacle: 63.9
Step 94 | Time: 1.567s | Pos: (496.5, 416.5) | Vel: (-358.6, 64.9) | Orient: -2.42 rad | AngVel: 0.59 | Speed: 364.4 | DistToTarget: 486.4 | Colliding: False | NearestObstacle: 64.7
Step 95 | Time: 1.583s | Pos: (490.3, 417.4) | Vel: (-371.2, 51.3) | Orient: -2.41 rad | AngVel: 0.59 | Speed: 374.7 | DistToTarget: 482.3 | Colliding: False | NearestObstacle: 65.7
Step 96 | Time: 1.600s | Pos: (483.9, 418.0) | Vel: (-383.0, 36.2) | Orient: -2.40 rad | AngVel: 0.60 | Speed: 384.7 | DistToTarget: 478.0 | Colliding: False | NearestObstacle: 66.7
Step 97 | Time: 1.617s | Pos: (477.4, 418.3) | Vel: (-394.0, 19.6) | Orient: -2.39 rad | AngVel: 0.60 | Speed: 394.5 | DistToTarget: 473.4 | Colliding: False | NearestObstacle: 67.9
Step 98 | Time: 1.633s | Pos: (470.6, 418.3) | Vel: (-403.9, 1.8) | Orient: -2.38 rad | AngVel: 0.60 | Speed: 403.9 | DistToTarget: 468.5 | Colliding: False | NearestObstacle: 69.2
Step 99 | Time: 1.650s | Pos: (463.8, 418.0) | Vel: (-412.6, -17.1) | Orient: -2.37 rad | AngVel: 0.59 | Speed: 413.0 | DistToTarget: 463.3 | Colliding: False | NearestObstacle: 70.6
Step 100 | Time: 1.667s | Pos: (456.8, 417.4) | Vel: (-420.2, -36.8) | Orient: -2.36 rad | AngVel: 0.59 | Speed: 421.8 | DistToTarget: 457.9 | Colliding: False | NearestObstacle: 72.1
Step 101 | Time: 1.683s | Pos: (449.7, 416.5) | Vel: (-426.4, -57.2) | Orient: -2.35 rad | AngVel: 0.58 | Speed: 430.2 | DistToTarget: 452.2 | Colliding: False | NearestObstacle: 73.8
Step 102 | Time: 1.700s | Pos: (442.5, 415.2) | Vel: (-431.4, -77.9) | Orient: -2.35 rad | AngVel: 0.57 | Speed: 438.4 | DistToTarget: 446.2 | Colliding: False | NearestObstacle: 75.6
Step 103 | Time: 1.717s | Pos: (435.2, 413.5) | Vel: (-435.1, -98.8) | Orient: -2.34 rad | AngVel: 0.56 | Speed: 446.2 | DistToTarget: 440.0 | Colliding: False | NearestObstacle: 77.6
Step 104 | Time: 1.733s | Pos: (427.9, 411.5) | Vel: (-437.6, -119.5) | Orient: -2.33 rad | AngVel: 0.54 | Speed: 453.6 | DistToTarget: 433.5 | Colliding: False | NearestObstacle: 79.7
Step 105 | Time: 1.750s | Pos: (420.6, 409.2) | Vel: (-438.9, -139.9) | Orient: -2.32 rad | AngVel: 0.53 | Speed: 460.6 | DistToTarget: 426.8 | Colliding: False | NearestObstacle: 82.0
Step 106 | Time: 1.767s | Pos: (413.3, 406.5) | Vel: (-439.1, -159.6) | Orient: -2.31 rad | AngVel: 0.51 | Speed: 467.2 | DistToTarget: 419.9 | Colliding: False | NearestObstacle: 84.5
Step 107 | Time: 1.783s | Pos: (406.0, 403.6) | Vel: (-438.3, -178.4) | Orient: -2.30 rad | AngVel: 0.49 | Speed: 473.2 | DistToTarget: 412.8 | Colliding: False | NearestObstacle: 87.2
Step 108 | Time: 1.800s | Pos: (398.7, 400.3) | Vel: (-436.6, -196.2) | Orient: -2.29 rad | AngVel: 0.48 | Speed: 478.7 | DistToTarget: 405.5 | Colliding: False | NearestObstacle: 90.0
Step 109 | Time: 1.817s | Pos: (391.5, 396.8) | Vel: (-434.2, -212.7) | Orient: -2.29 rad | AngVel: 0.46 | Speed: 483.5 | DistToTarget: 398.0 | Colliding: False | NearestObstacle: 93.1
Step 110 | Time: 1.833s | Pos: (384.3, 393.0) | Vel: (-431.1, -227.8) | Orient: -2.28 rad | AngVel: 0.45 | Speed: 487.6 | DistToTarget: 390.5 | Colliding: False | NearestObstacle: 96.3
Step 111 | Time: 1.850s | Pos: (377.2, 388.9) | Vel: (-427.4, -241.4) | Orient: -2.27 rad | AngVel: 0.43 | Speed: 490.9 | DistToTarget: 382.8 | Colliding: False | NearestObstacle: 99.8
Step 112 | Time: 1.867s | Pos: (370.1, 384.7) | Vel: (-423.3, -253.5) | Orient: -2.26 rad | AngVel: 0.42 | Speed: 493.4 | DistToTarget: 375.0 | Colliding: False | NearestObstacle: 103.5
Step 113 | Time: 1.883s | Pos: (363.1, 380.3) | Vel: (-418.9, -264.1) | Orient: -2.26 rad | AngVel: 0.41 | Speed: 495.2 | DistToTarget: 367.2 | Colliding: False | NearestObstacle: 107.4
Step 114 | Time: 1.900s | Pos: (356.2, 375.8) | Vel: (-414.2, -273.1) | Orient: -2.25 rad | AngVel: 0.40 | Speed: 496.1 | DistToTarget: 359.3 | Colliding: False | NearestObstacle: 111.5
Step 115 | Time: 1.917s | Pos: (349.4, 371.1) | Vel: (-409.2, -280.7) | Orient: -2.24 rad | AngVel: 0.40 | Speed: 496.2 | DistToTarget: 351.4 | Colliding: False | NearestObstacle: 115.9
Step 116 | Time: 1.933s | Pos: (342.7, 366.3) | Vel: (-404.1, -286.9) | Orient: -2.24 rad | AngVel: 0.39 | Speed: 495.6 | DistToTarget: 343.4 | Colliding: False | NearestObstacle: 120.4
Step 117 | Time: 1.950s | Pos: (336.0, 361.4) | Vel: (-398.8, -291.8) | Orient: -2.23 rad | AngVel: 0.39 | Speed: 494.2 | DistToTarget: 335.5 | Colliding: False | NearestObstacle: 125.1
Step 118 | Time: 1.967s | Pos: (329.5, 356.5) | Vel: (-393.5, -295.5) | Orient: -2.22 rad | AngVel: 0.39 | Speed: 492.0 | DistToTarget: 327.6 | Colliding: False | NearestObstacle: 129.9
