Step 107 | Time: 1.783s | Pos: (432.4, 470.0) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 108 | Time: 1.800s | Pos: (427.9, 472.4) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 109 | Time: 1.817s | Pos: (423.5, 474.7) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 110 | Time: 1.833s | Pos: (419.1, 477.1) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 111 | Time: 1.850s | Pos: (414.7, 479.4) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 112 | Time: 1.867s | Pos: (410.3, 481.7) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 113 | Time: 1.883s | Pos: (405.8, 484.1) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 114 | Time: 1.900s | Pos: (401.4, 486.4) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 115 | Time: 1.917s | Pos: (397.0, 488.8) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 116 | Time: 1.933s | Pos: (392.6, 491.1) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 117 | Time: 1.950s | Pos: (388.2, 493.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 118 | Time: 1.967s | Pos: (383.8, 495.8) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 119 | Time: 1.983s | Pos: (379.3, 498.1) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 120 | Time: 2.000s | Pos: (374.9, 500.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 121 | Time: 2.017s | Pos: (370.5, 502.8) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 122 | Time: 2.033s | Pos: (366.1, 505.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 123 | Time: 2.050s | Pos: (361.7, 507.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 124 | Time: 2.067s | Pos: (357.2, 509.8) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 125 | Time: 2.083s | Pos: (352.8, 512.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 126 | Time: 2.100s | Pos: (348.4, 514.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 127 | Time: 2.117s | Pos: (344.0, 516.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 128 | Time: 2.133s | Pos: (339.6, 519.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 129 | Time: 2.150s | Pos: (335.2, 521.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 130 | Time: 2.167s | Pos: (330.7, 523.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 131 | Time: 2.183s | Pos: (326.3, 526.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 132 | Time: 2.200s | Pos: (321.9, 528.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 133 | Time: 2.217s | Pos: (317.5, 530.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 134 | Time: 2.233s | Pos: (313.1, 533.3) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
Step 135 | Time: 2.250s | Pos: (308.7, 535.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 2
