Step 107 | Time: 1.783s | Pos: (479.0, 440.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 204.7 | Colliding: False | NearestObstacle: 35.5
Step 108 | Time: 1.800s | Pos: (477.5, 441.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 203.1 | Colliding: False | NearestObstacle: 34.8
Step 109 | Time: 1.817s | Pos: (476.0, 442.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 201.4 | Colliding: False | NearestObstacle: 34.2
Step 110 | Time: 1.833s | Pos: (474.5, 442.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 199.7 | Colliding: False | NearestObstacle: 33.6
Step 111 | Time: 1.850s | Pos: (473.0, 443.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 198.1 | Colliding: False | NearestObstacle: 33.1
Step 112 | Time: 1.867s | Pos: (471.5, 444.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 196.4 | Colliding: False | NearestObstacle: 32.6
Step 113 | Time: 1.883s | Pos: (470.0, 444.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 194.7 | Colliding: False | NearestObstacle: 32.1
Step 114 | Time: 1.900s | Pos: (468.5, 445.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 193.1 | Colliding: False | NearestObstacle: 31.7
Step 115 | Time: 1.917s | Pos: (467.1, 446.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 191.4 | Colliding: False | NearestObstacle: 31.4
Step 116 | Time: 1.933s | Pos: (465.6, 447.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 189.7 | Colliding: False | NearestObstacle: 31.1
Step 117 | Time: 1.950s | Pos: (464.1, 447.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 188.1 | Colliding: False | NearestObstacle: 30.8
Step 118 | Time: 1.967s | Pos: (462.6, 448.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 186.4 | Colliding: False | NearestObstacle: 30.6
Step 119 | Time: 1.983s | Pos: (461.1, 449.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 184.7 | Colliding: False | NearestObstacle: 30.5
