Step 111 | Time: 1.850s | Pos: (248.5, 208.0) | Vel: (-430.8, 100.9) | Orient: 2.28 rad | AngVel: -0.91 | Speed: 442.4 | DistToTarget: 283.3 | Colliding: False | NearestObstacle: 113.4
Step 112 | Time: 1.867s | Pos: (241.3, 210.0) | Vel: (-429.8, 118.6) | Orient: 2.26 rad | AngVel: -0.90 | Speed: 445.9 | DistToTarget: 277.2 | Colliding: False | NearestObstacle: 115.8
Step 113 | Time: 1.883s | Pos: (234.2, 212.3) | Vel: (-427.9, 136.0) | Orient: 2.25 rad | AngVel: -0.90 | Speed: 449.0 | DistToTarget: 270.9 | Colliding: False | NearestObstacle: 118.2
Step 114 | Time: 1.900s | Pos: (227.1, 214.8) | Vel: (-425.2, 152.9) | Orient: 2.23 rad | AngVel: -0.89 | Speed: 451.9 | DistToTarget: 264.5 | Colliding: False | NearestObstacle: 120.8
Step 115 | Time: 1.917s | Pos: (220.1, 217.6) | Vel: (-421.8, 169.3) | Orient: 2.22 rad | AngVel: -0.89 | Speed: 454.5 | DistToTarget: 258.0 | Colliding: False | NearestObstacle: 123.4
Step 116 | Time: 1.933s | Pos: (213.1, 220.7) | Vel: (-417.6, 185.1) | Orient: 2.20 rad | AngVel: -0.88 | Speed: 456.8 | DistToTarget: 251.4 | Colliding: False | NearestObstacle: 126.2
Step 117 | Time: 1.950s | Pos: (206.2, 224.1) | Vel: (-412.9, 200.2) | Orient: 2.19 rad | AngVel: -0.88 | Speed: 458.9 | DistToTarget: 244.6 | Colliding: False | NearestObstacle: 129.1
Step 118 | Time: 1.967s | Pos: (199.4, 227.6) | Vel: (-407.6, 214.8) | Orient: 2.17 rad | AngVel: -0.87 | Speed: 460.7 | DistToTarget: 237.8 | Colliding: False | NearestObstacle: 132.1
Step 119 | Time: 1.983s | Pos: (192.7, 231.5) | Vel: (-401.8, 228.7) | Orient: 2.16 rad | AngVel: -0.87 | Speed: 462.3 | DistToTarget: 230.9 | Colliding: False | NearestObstacle: 135.2
Step 120 | Time: 2.000s | Pos: (186.2, 235.5) | Vel: (-395.5, 241.9) | Orient: 2.14 rad | AngVel: -0.87 | Speed: 463.7 | DistToTarget: 223.9 | Colliding: False | NearestObstacle: 138.4
Step 121 | Time: 2.017s | Pos: (179.7, 239.7) | Vel: (-389.0, 254.5) | Orient: 2.13 rad | AngVel: -0.87 | Speed: 464.8 | DistToTarget: 216.9 | Colliding: False | NearestObstacle: 141.7
Step 122 | Time: 2.033s | Pos: (173.3, 244.2) | Vel: (-382.1, 266.4) | Orient: 2.12 rad | AngVel: -0.87 | Speed: 465.8 | DistToTarget: 209.7 | Colliding: False | NearestObstacle: 145.1
Step 123 | Time: 2.050s | Pos: (167.1, 248.8) | Vel: (-375.0, 277.7) | Orient: 2.10 rad | AngVel: -0.87 | Speed: 466.6 | DistToTarget: 202.6 | Colliding: False | NearestObstacle: 148.6
Step 124 | Time: 2.067s | Pos: (160.9, 253.6) | Vel: (-367.7, 288.3) | Orient: 2.09 rad | AngVel: -0.87 | Speed: 467.3 | DistToTarget: 195.3 | Colliding: False | NearestObstacle: 152.2
