Step 88 | Time: 1.467s | Pos: (784.0, 334.0) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: 0.21 | Speed: 100.0 | DistToTarget: 155.7 | Colliding: False | NearestObstacle: 45.6
Step 89 | Time: 1.483s | Pos: (785.6, 333.7) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 154.0 | Colliding: False | NearestObstacle: 45.0
Step 90 | Time: 1.500s | Pos: (787.3, 333.4) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 152.3 | Colliding: False | NearestObstacle: 44.3
Step 91 | Time: 1.517s | Pos: (788.9, 333.1) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 150.7 | Colliding: False | NearestObstacle: 43.7
Step 92 | Time: 1.533s | Pos: (790.6, 332.8) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.08 | Speed: 100.0 | DistToTarget: 149.0 | Colliding: False | NearestObstacle: 43.1
Step 93 | Time: 1.550s | Pos: (792.2, 332.5) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 147.3 | Colliding: False | NearestObstacle: 42.6
Step 94 | Time: 1.567s | Pos: (793.9, 332.2) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 145.7 | Colliding: False | NearestObstacle: 42.0
Step 95 | Time: 1.583s | Pos: (795.5, 331.9) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 144.0 | Colliding: False | NearestObstacle: 41.6
Step 96 | Time: 1.600s | Pos: (797.1, 331.6) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 142.3 | Colliding: False | NearestObstacle: 41.1
Step 97 | Time: 1.617s | Pos: (798.8, 331.4) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 140.7 | Colliding: False | NearestObstacle: 40.7
Step 98 | Time: 1.633s | Pos: (800.4, 331.1) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 139.0 | Colliding: False | NearestObstacle: 40.3
Step 99 | Time: 1.650s | Pos: (802.1, 330.8) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 137.3 | Colliding: False | NearestObstacle: 40.0
Step 100 | Time: 1.667s | Pos: (803.7, 330.5) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 135.7 | Colliding: False | NearestObstacle: 39.6
Step 101 | Time: 1.683s | Pos: (805.3, 330.2) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 134.0 | Colliding: False | NearestObstacle: 39.4
Step 102 | Time: 1.700s | Pos: (807.0, 329.9) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 132.3 | Colliding: False | NearestObstacle: 39.1
Step 103 | Time: 1.717s | Pos: (808.6, 329.6) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 130.7 | Colliding: False | NearestObstacle: 38.9
Step 104 | Time: 1.733s | Pos: (810.3, 329.4) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 129.0 | Colliding: False | NearestObstacle: 38.8
Step 105 | Time: 1.750s | Pos: (811.9, 329.1) | Vel: (98.5, -17.2) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 127.3 | Colliding: False | NearestObstacle: 38.6
Step 106 | Time: 1.767s | Pos: (813.6, 328.8) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 125.7 | Colliding: False | NearestObstacle: 38.5
