Step 113 | Time: 1.883s | Pos: (477.5, 563.9) | Vel: (120.5, 155.5) | Orient: -0.11 rad | AngVel: -3.83 | Speed: 196.7 | DistToTarget: 42.6 | Colliding: False | NearestObstacle: 149.5
Step 114 | Time: 1.900s | Pos: (479.6, 566.4) | Vel: (123.8, 145.8) | Orient: -0.18 rad | AngVel: -3.94 | Speed: 191.3 | DistToTarget: 40.9 | Colliding: False | NearestObstacle: 148.8
Step 115 | Time: 1.917s | Pos: (481.7, 568.6) | Vel: (126.6, 135.5) | Orient: -0.24 rad | AngVel: -4.03 | Speed: 185.4 | DistToTarget: 39.4 | Colliding: False | NearestObstacle: 148.0
Step 116 | Time: 1.933s | Pos: (483.9, 570.7) | Vel: (128.6, 124.7) | Orient: -0.31 rad | AngVel: -4.10 | Speed: 179.1 | DistToTarget: 37.9 | Colliding: False | NearestObstacle: 147.1
Step 117 | Time: 1.950s | Pos: (486.0, 572.6) | Vel: (129.8, 113.2) | Orient: -0.38 rad | AngVel: -4.14 | Speed: 172.2 | DistToTarget: 36.5 | Colliding: False | NearestObstacle: 146.1
Step 118 | Time: 1.967s | Pos: (488.2, 574.3) | Vel: (130.1, 101.3) | Orient: -0.45 rad | AngVel: -4.16 | Speed: 164.9 | DistToTarget: 35.2 | Colliding: False | NearestObstacle: 145.1
Step 119 | Time: 1.983s | Pos: (490.3, 575.8) | Vel: (129.4, 89.0) | Orient: -0.52 rad | AngVel: -4.14 | Speed: 157.1 | DistToTarget: 34.0 | Colliding: False | NearestObstacle: 144.0
Step 120 | Time: 2.000s | Pos: (492.5, 577.0) | Vel: (127.6, 76.4) | Orient: -0.59 rad | AngVel: -4.08 | Speed: 148.8 | DistToTarget: 32.8 | Colliding: False | NearestObstacle: 142.9
Step 121 | Time: 2.017s | Pos: (494.6, 578.1) | Vel: (124.8, 63.5) | Orient: -0.65 rad | AngVel: -3.98 | Speed: 140.0 | DistToTarget: 31.8 | Colliding: False | NearestObstacle: 141.7
Step 122 | Time: 2.033s | Pos: (496.6, 578.9) | Vel: (120.8, 50.5) | Orient: -0.72 rad | AngVel: -3.83 | Speed: 130.9 | DistToTarget: 30.7 | Colliding: False | NearestObstacle: 140.5
Step 123 | Time: 2.050s | Pos: (498.5, 579.6) | Vel: (115.6, 37.4) | Orient: -0.78 rad | AngVel: -3.65 | Speed: 121.5 | DistToTarget: 29.7 | Colliding: False | NearestObstacle: 139.3
Step 124 | Time: 2.067s | Pos: (500.3, 580.0) | Vel: (109.3, 24.2) | Orient: -0.84 rad | AngVel: -3.41 | Speed: 111.9 | DistToTarget: 28.7 | Colliding: False | NearestObstacle: 138.0
